index,sequence,robotz,exposure,blur
0153,0,837,80,335
0153,1,1018,80,299
0153,2,1213,80,231
0153,3,1402,80,409
0153,4,1607,80,388
0154,0,826,80,350
0154,1,1009,80,260
0154,2,1208,80,158
0154,3,1408,80,330
0155,0,845,80,313
0155,1,1025,80,225
0155,2,1217,80,179
0155,3,1402,80,251
0156,0,801,80,315
0156,1,1030,80,354
0156,2,1221,80,397
0157,0,808,80,318
0157,1,1036,80,291
0157,2,1224,80,267
0157,3,1409,80,354
0158,0,814,80,294
0158,1,1040,80,239
0158,2,1202,80,283
0158,3,1412,80,268
0159,0,830,80,287
0159,1,1012,80,245
0159,2,1210,80,269
0159,3,1416,80,361
0160,0,814,85,304
0160,1,1040,85,224
0160,2,1202,85,200
0160,3,1416,85,197
0160,4,1645,85,244
0161,0,803,85,264
0161,1,1012,85,288
0161,2,1209,85,319
0161,3,1432,85,317
0162,0,820,85,275
0162,1,1005,85,263
0162,2,1229,85,239
0162,3,1406,85,173
0163,0,830,85,269
0163,1,1012,85,298
0163,2,1210,85,351
0164,0,835,85,316
0164,1,1017,85,237
0164,2,1236,85,211
0164,3,1436,85,257
0165,0,831,85,264
0165,1,1013,85,305
0165,2,1210,85,178
0165,3,1424,85,758
0165,4,1601,85,149
0166,0,823,85,279
0166,1,1007,85,172
0166,2,1206,85,196
0166,3,1422,85,158
0167,0,877,85,298
0167,1,1010,85,250
0167,2,1208,85,241
0167,3,1424,85,198
0167,4,1619,85,137
0168,0,813,85,305
0168,1,1039,85,256
0168,2,1201,85,223
0168,3,1416,85,191
0168,4,1608,85,200
0169,0,830,85,273
0169,1,1012,85,247
0169,2,1210,85,292
0169,3,1418,85,222
0170,0,812,90,253
0170,1,1038,90,213
0170,2,1201,90,175
0170,3,1408,90,152
0171,0,842,90,267
0171,1,1023,90,248
0171,2,1216,90,241
0171,3,1421,90,229
0172,0,837,90,342
0172,1,1018,90,195
0172,2,1213,90,176
0172,3,1402,90,195
0173,0,828,90,301
0173,1,1011,90,263
0173,2,1209,90,277
0173,3,1423,90,352
0174,0,831,90,346
0174,1,1014,90,267
0174,2,1210,90,260
0174,3,1424,90,290
0175,0,867,90,229
0175,1,1002,90,178
0175,2,1203,90,233
0175,3,1415,90,206
0176,0,831,90,279
0176,1,1013,90,182
0176,2,1210,90,206
0176,3,1409,90,250
0177,0,839,90,259
0177,1,1020,90,289
0177,2,1214,90,222
0177,3,1416,90,199
0177,4,1610,90,151
0178,0,848,90,261
0178,1,1027,90,257
0178,2,1242,90,323
0178,3,1422,90,216
0179,0,821,90,290
0179,1,1006,90,287
0179,2,1206,90,225
0179,3,1416,90,219
0180,0,835,95,279
0180,1,1017,95,226
0180,2,1213,95,226
0180,3,1424,95,252
0180,4,1618,95,235
0181,0,837,95,327
0181,1,1019,95,210
0181,2,1214,95,261
0181,3,1422,95,248
0182,0,839,95,323
0182,1,1020,95,263
0182,2,1214,95,236
0182,3,1402,95,328
0183,0,897,95,298
0183,1,1027,95,253
0183,2,1219,95,262
0183,3,1402,95,319
0184,0,813,95,256
0184,1,1039,95,231
0184,2,1201,95,218
0184,3,1418,95,219
0185,0,842,95,292
0185,1,1022,95,229
0185,2,1239,95,273
0185,3,1407,95,269
0186,0,831,95,242
0186,1,1014,95,202
0186,2,1210,95,230
0186,3,1424,95,248
0186,4,1618,95,285
0187,0,809,95,287
0187,1,1036,95,257
0187,2,1224,95,259
0187,3,1414,95,259
0188,0,822,95,253
0188,1,1006,95,212
0188,2,1206,95,200
0188,3,1447,95,192
0189,0,818,95,366
0189,1,1003,95,390
0189,2,1204,95,460
0189,3,1416,95,413
0190,0,840,100,308
0190,1,1020,100,203
0190,2,1215,100,254
0190,3,1402,100,186
0191,0,836,100,213
0191,1,1018,100,221
0191,2,1213,100,231
0191,3,1426,100,280
0192,0,827,100,277
0192,1,1010,100,223
0192,2,1208,100,225
0192,3,1424,100,301
0193,0,850,100,277
0193,1,1028,100,215
0193,2,1220,100,201
0193,3,1409,100,150
0193,4,1630,100,222
0194,0,841,100,279
0194,1,1022,100,256
0194,2,1216,100,262
0194,3,1420,100,261
0195,0,812,100,278
0195,1,1038,100,209
0195,2,1201,100,198
0195,3,1421,100,189
0196,0,811,100,292
0196,1,1075,100,265
0196,2,1225,100,229
0196,3,1409,100,278
0196,4,1601,100,286
0197,0,833,100,323
0197,1,1015,100,272
0197,2,1212,100,220
