index,exposure,result
12,10,81836.3
13,10,151700
14,10,217471
15,10,279517
16,10,353893
17,10,433924
18,10,450222
19,10,540542
0,10,7613.07
1,10,8142.12
2,10,6985.96
3,10,4662.36
4,10,4217.79
5,10,6672.01
6,10,7344.17
7,10,10154.9
8,10,11305.8
9,10,10017
10,10,8548.99
11,10,5548.84
12,10,6763.14
13,10,4831.2
14,10,4937.53
15,10,6526.36
16,10,6069.16
17,10,6143.56
18,10,7872.48
19,10,6587.57
0,10,8936.64
1,10,8507.86
2,10,6538.77
3,10,4879.12
4,10,4117.15
5,10,4099.14
6,10,4459.24
7,10,4442.8
8,10,4192.57
9,10,8024.18
10,10,8220.09
11,10,5045.98
12,10,35201.2
13,10,31244
14,10,54909.4
15,10,156214
16,10,83830
17,10,80838.4
18,10,71906.8
19,10,66422.8
0,10,8946.81
1,10,8637.13
2,10,14366.3
3,10,27322.6
4,10,29904.3
5,10,31662
6,10,56047.5
7,10,114694
8,10,61756.6
9,10,88377.8
10,10,136397
11,10,180032
12,10,281273
13,10,141182
14,10,99619.2
15,10,131208
16,10,67157.4
17,10,76319.8
18,10,54711.4
19,10,51216.8
0,11,3282.19
1,11,3921.91
2,11,3963.86
3,11,4045.38
4,11,4451.27
5,11,3686.39
6,11,3117.83
7,11,2550.35
8,11,2584.88
9,11,2088.93
10,11,2269.32
11,11,2057.72
12,11,2319.44
13,11,2830.15
14,11,3240.92
15,11,3037.29
16,11,5025.16
17,11,3899.45
18,11,3795.73
19,11,3543.63
0,11,3862.54
1,11,4489
2,11,5289.1
3,11,5188.91
4,11,5069.42
5,11,4671.96
6,11,5075.06
7,11,9823.8
8,11,7723.98
9,11,4447.29
10,11,4286.62
11,11,4784.37
12,11,5315.36
13,11,4756.26
14,11,3843.8
15,11,3622.44
16,11,3783.18
17,11,4528.45
18,11,4079.24
19,11,4507.48
0,11,6147.17
1,11,6058.65
2,11,6558.92
3,11,8716.63
4,11,12399.2
5,11,16781.2
6,11,20708
7,11,27653.9
8,11,38646.7
9,11,35060.3
10,11,34997.1
11,11,44023.6
12,11,33163.8
13,11,37349.9
14,11,32985.9
15,11,28661.5
16,11,24843.2
17,11,27194.5
18,11,68566.4
19,11,60634.5
0,11,6410.55
1,11,7736.02
2,11,16676
3,11,11706.9
4,11,29145.5
5,11,47306.7
6,11,57283.2
7,11,55988.9
8,11,89242.8
9,11,138312
10,11,375544
11,11,532135
12,11,1.34266e+06
13,11,1.50183e+06
14,11,1.16861e+06
15,11,1.2151e+06
16,11,2.09339e+06
17,11,1.25835e+06
18,11,579837
19,11,493623
0,11,20474.8
1,11,14294.8
2,11,6817
3,11,4540.81
4,11,3599.59
5,11,2365.42
6,11,3332.77
7,11,4017.62
8,11,3983.75
9,11,5505.03
10,11,5829.89
11,11,8020.49
12,11,7313.52
13,11,8628.66
14,11,7786.15
15,11,7936.87
16,11,7174.85
17,11,6819.88
18,11,7428.44
19,11,7913.67
0,12,36044.6
1,12,27352.8
2,12,45452.9
3,12,84135.3
4,12,126621
5,12,342351
6,12,1.23513e+06
7,12,2.06172e+06
8,12,1.15719e+08
9,12,1.02505e+08
10,12,3.04899e+08
11,12,2.33224e+08
12,12,7.44211e+07
13,12,4.86907e+08
14,12,3.53965e+08
15,12,0
16,12,1.0894e+08
17,12,3.13251e+08
18,12,2.96477e+08
19,12,3.26071e+08
0,12,8049.15
1,12,9662.15
2,12,10635.6
3,12,13287
4,12,16290
5,12,18814.1
6,12,22008.4
7,12,20414.2
8,12,20607.6
9,12,24269.4
10,12,24674.6
11,12,23081.3
12,12,24923
13,12,27078.3
14,12,27408
15,12,27742.5
16,12,32520.2
17,12,39597.5
18,12,48894.1
19,12,51052.9
0,12,7837.58
1,12,9012
2,12,10947.5
3,12,10796.7
4,12,12311.7
5,12,14136.9
6,12,15649.1
7,12,28726.9
8,12,30200.1
9,12,25975.4
10,12,25793.8
11,12,39765.6
12,12,37035.2
13,12,33234.5
14,12,31401.9
15,12,29980.6
16,12,27414.9
17,12,25324.2
18,12,25247.8
19,12,23628.2
0,12,7249.22
1,12,9047.83
2,12,14523.7
3,12,14016.1
4,12,9540.31
5,12,6361.96
6,12,4013.53
7,12,3388.69
8,12,3420.78
9,12,3436.71
10,12,3823
11,12,3599.15
12,12,3987.91
13,12,4250.29
14,12,5113.67
15,12,5949.24
16,12,5186.82
17,12,5566.33
18,12,5701.05
19,12,5280.32
0,12,11386.1
1,12,13586.4
2,12,18326
3,12,31524.3
4,12,28469.1
5,12,37302.8
6,12,44613.8
7,12,58395.5
8,12,54958.3
9,12,74783.5
10,12,76357.7
11,12,82718.2
12,12,84465.6
13,12,79709.1
14,12,120556
15,12,105023
16,12,107366
17,12,103739
18,12,97005.2
19,12,88095.6
0,13,12706.4
1,13,12204.8
2,13,11025.1
3,13,8822.59
4,13,7127.39
5,13,3072.56
6,13,3342.14
7,13,4235.56
8,13,2988.42
9,13,9446.19
10,13,9455.89
11,13,23465.4
12,13,14763.8
13,13,51508.1
14,13,48695.7
15,13,47386
16,13,35659.3
17,13,38849.6
18,13,42282.7
19,13,60380.4
0,13,5122.65
1,13,6133.66
2,13,9528.08
3,13,14328.9
4,13,23376.2
5,13,31551.7
6,13,39588.5
7,13,46013.2
8,13,21308.5
9,13,17022.5
10,13,16584.1
11,13,16474.3
12,13,16116.3
13,13,16664.3
14,13,21425.6
15,13,31430.9
16,13,56845.8
17,13,51177.6
18,13,63319.4
19,13,87755.2
0,13,6044.95
1,13,4915.63
2,13,6825.46
3,13,7132.46
4,13,13588.5
5,13,14387.8
6,13,15057.8
7,13,19657.9
8,13,24005.4
9,13,24306.7
10,13,24655.9
11,13,30977.7
12,13,31033
13,13,31209.5
14,13,29752.7
15,13,30745.7
16,13,26785.9
17,13,26098.6
18,13,25367.2
19,13,25129.7
0,13,16358.2
1,13,16850.6
2,13,15665.5
3,13,22956.6
4,13,20690.1
5,13,27026.9
6,13,28035.5
7,13,50254.4
8,13,51746.9
9,13,96733.6
10,13,119948
11,13,266737
12,13,303466
13,13,429491
14,13,372879
15,13,392882
16,13,226502
17,13,140903
18,13,140741
19,13,108437
0,13,2906.54
1,13,3421
2,13,3782.48
3,13,4987.32
4,13,7403.89
5,13,11209.9
6,13,16820.9
7,13,20638
8,13,18171.2
9,13,14657.8
10,13,17869
11,13,17735.2
12,13,13831.1
13,13,16299.2
14,13,14802.1
15,13,13433.9
16,13,14929.8
17,13,14117.9
18,13,14190.8
19,13,14260.5
0,14,12075.3
1,14,7238.37
2,14,8980.03
3,14,7671.98
4,14,7955.82
5,14,10541.5
6,14,21461.2
7,14,28038.3
8,14,30908.7
9,14,38545.3
10,14,46684.6
11,14,52344.3
12,14,52207.4
13,14,67738.3
14,14,52725.1
15,14,141988
16,14,83502.6
17,14,65091.6
18,14,66058.4
19,14,64222.8
0,14,4596.51
1,14,4277.78
2,14,4704.51
3,14,5653
4,14,5643.05
5,14,6557.63
6,14,6429.76
7,14,6536.63
8,14,8061.25
9,14,7841.59
10,14,8805.87
11,14,11056.7
12,14,12099.5
13,14,10446.8
14,14,9832.2
15,14,9603.13
16,14,9625.75
17,14,8054.09
18,14,6978.19
19,14,5815.91
0,14,9159.23
1,14,9994.38
2,14,15131.9
3,14,19829.8
4,14,18778.2
5,14,17660.7
6,14,20076.8
7,14,23420.4
8,14,23245.5
9,14,26158.9
10,14,35049.9
11,14,35672.3
12,14,36267.5
13,14,44513.3
14,14,49261.4
15,14,55222.4
16,14,64206.9
17,14,57907.7
18,14,61665.4
19,14,60452.2
0,14,6370.84
1,14,8885.43
2,14,12667.2
3,14,11657.8
4,14,18645.5
5,14,23387.4
6,14,26013.1
7,14,35620.2
8,14,42297.9
