index,sequence,robotz,exposure,result
214,3,1410,110,58
206,1,1038,105,678
71,1,1034,40,80
142,2,1220,75,101
46,3,1432,25,12
152,2,1209,80,925
212,2,1223,110,576
145,3,1417,75,394
232,0,850,120,347
129,1,1029,65,418
105,0,811,55,131
144,1,1032,75,360
115,1,1004,60,721
11,0,840,10,43
226,1,1014,115,470
146,4,1621,75,438
101,2,1220,55,115
235,2,1213,120,205
164,3,1422,85,39
85,0,810,45,78
19,3,1417,10,54
216,2,1220,110,413
79,3,1410,40,70
210,1,1022,110,410
60,0,841,35,269
184,2,1209,95,404
122,1,1029,65,164
197,3,1414,100,384
179,0,804,90,423
23,0,818,15,44
98,1,1021,50,271
94,0,803,50,119
24,2,1201,15,459
99,1,1028,50,490
37,2,1211,20,75
147,3,1404,75,384
259,3,1406,130,598
108,2,1224,55,68
219,0,814,110,370
212,3,1410,110,636
97,0,829,50,340
116,3,1415,60,485
22,2,1206,15,97
80,3,1412,45,466
228,1,1006,115,492
190,2,1211,100,214
84,3,1408,45,173
152,1,1018,80,432
246,0,884,125,690
37,1,1020,20,194
11,1,1057,10,112
98,3,1422,50,23
29,2,1218,15,46
33,3,1401,20,102
245,2,1224,125,804
188,0,829,95,277
198,1,1012,100,153
192,2,1213,100,632
185,0,844,95,169
198,0,831,100,177
48,1,1040,25,127
153,0,819,80,184
65,3,1421,35,726
115,2,1224,60,277
209,2,1217,105,236
231,4,1613,120,1267
8,2,1223,5,15
146,1,1038,75,564
65,1,1004,35,235
186,0,896,95,249
31,1,1027,20,84
234,2,1222,120,151
125,1,1038,65,336
74,1,1014,40,265
159,2,1222,80,538
165,0,838,85,246
133,4,1628,70,855
230,3,1430,120,198
177,1,1025,90,412
6,1,1027,5,8
136,3,1417,70,463
256,2,1216,130,731
235,1,1025,120,449
36,1,1009,20,131
39,1,1019,20,99
89,0,841,45,221
11,3,1430,10,55
18,3,1403,10,101
174,0,838,90,499
164,0,848,85,370
128,3,1412,65,4
202,1,1031,105,713
176,2,1214,90,714
18,2,1224,10,160
75,3,1411,40,446
82,0,805,45,92
237,0,821,120,556
17,0,802,10,40
95,3,1418,50,170
235,0,896,120,307
199,3,1449,100,554
6,2,1215,5,16
72,2,1201,40,101
86,1,1029,45,237
161,2,1215,85,649
62,2,1215,35,176
228,0,824,115,283
244,3,1403,125,435
231,2,1220,120,661
51,3,1430,30,361
176,0,849,90,316
44,1,1006,25,98
134,0,831,70,150
213,3,1421,110,15
88,2,1215,45,166
203,0,844,105,173
138,3,1417,70,466
155,1,1007,80,322
138,2,1202,70,450
64,2,1212,35,215
175,2,1218,90,37
76,2,1224,40,443
263,1,1041,135,426
117,2,1207,60,25
165,3,1412,85,4
28,3,1412,15,111
251,3,1421,130,400
222,1,1001,115,360
227,3,1415,115,386
262,0,880,135,311
50,3,1417,30,198
168,2,1207,85,319
188,1,1010,95,306
65,2,1201,35,672
77,1,1001,40,377
193,0,847,100,468
214,2,1205,110,383
222,3,1410,115,335
66,0,837,35,75
167,2,1202,85,1025
143,3,1403,75,102
5,2,1211,5,38
25,2,1215,15,96
92,2,1201,50,526
145,1,1006,75,270
68,3,1416,35,164
17,3,1415,10,162
41,0,815,25,62
23,1,1001,15,41
