index,exposure,result
86,17,2.85092
870,174,74.4813
871,174,75.5793
872,174,74.8996
873,174,75.8114
874,174,75.9532
875,175,74.961
876,175,74.4309
877,175,75.2866
878,175,76.7004
879,175,73.394
87,17,2.81546
880,176,76.8185
881,176,76.3785
882,176,76.5317
883,176,76.7806
884,176,75.0963
885,177,78.9297
886,177,76.4899
887,177,74.2914
888,177,75.6704
889,177,75.6557
88,17,2.78004
890,178,77.2383
891,178,76.2147
892,178,79.5846
893,178,76.7507
894,178,77.8855
895,179,77.8515
896,179,77.298
897,179,76.294
898,179,79.5879
899,179,77.2387
89,17,2.713
8,1,0.220604
900,180,77.5556
901,180,79.4507
902,180,79.251
903,180,77.8252
904,180,77.7737
905,181,78.4156
906,181,80.3603
907,181,77.9473
908,181,77.2699
909,181,76.6045
90,18,2.9811
910,182,79.4477
911,182,77.4664
912,182,80.9418
913,182,78.4949
914,182,80.0865
915,183,79.3958
916,183,78.8261
917,183,81.3664
918,183,80.8759
919,183,81.282
91,18,3.0651
920,184,78.9468
921,184,79.2625
922,184,80.8777
923,184,79.1968
924,184,82.1626
925,185,81.5621
926,185,79.4841
927,185,82.8254
928,185,81.8588
929,185,81.637
92,18,2.97075
930,186,82.6259
931,186,80.7102
932,186,79.4231
933,186,80.4663
934,186,80.5159
935,187,81.0256
936,187,82.3955
937,187,80.3897
938,187,80.058
939,187,81.0442
93,18,2.99717
940,188,81.8543
941,188,81.0467
942,188,82.0956
943,188,81.2937
944,188,81.5269
945,189,83.3408
946,189,80.9305
947,189,82.3415
948,189,83.048
949,189,82.9756
94,18,3.00471
950,190,82.3181
951,190,82.5172
952,190,81.7378
953,190,83.7754
954,190,85.5537
955,191,84.0499
956,191,83.8932
957,191,82.3742
958,191,82.4755
959,191,83.156
95,19,3.17458
960,192,83.9129
961,192,83.8195
962,192,84.5139
963,192,82.9242
964,192,82.1311
965,193,84.5505
966,193,82.9078
967,193,83.0852
968,193,85.242
969,193,83.577
96,19,3.14283
970,194,83.8691
971,194,84.3772
972,194,86.2397
973,194,84.787
974,194,83.8715
975,195,84.9344
976,195,84.6758
977,195,86.2567
978,195,84.1587
979,195,84.1992
97,19,3.11337
980,196,85.1306
981,196,86.8325
982,196,85.0695
983,196,86.1837
