sequence,index,robotz,exposure,result
33,0,815,7,5234
33,1,855,7,5287
33,2,892,7,5714
33,3,926,7,5854
33,4,959,7,5734
33,5,989,7,5871
33,6,1016,7,6195
33,7,1042,7,6746
33,8,1065,7,6958
33,9,1086,7,7172
33,10,1104,7,7438
33,11,1120,7,7701
33,12,1134,7,7921
33,13,1145,7,7948
33,14,1154,7,8477
33,15,1161,7,8185
33,16,1165,7,8274
33,17,1167,7,8592
33,18,1167,7,8176
33,19,1167,7,8285
34,0,827,7,6698
34,1,866,7,7480
34,2,902,7,7842
34,3,936,7,7587
34,4,968,7,8168
34,5,997,7,8562
34,6,1024,7,8291
34,7,1049,7,8993
34,8,1091,7,9476
34,9,1109,7,9412
34,10,1125,7,10425
34,11,1137,7,10827
34,12,1148,7,11794
34,13,1156,7,11872
34,14,1162,7,12165
34,15,1166,7,11469
34,16,1167,7,12466
34,17,1167,7,11649
34,18,1167,7,11695
34,19,1167,7,11268
35,0,819,8,5695
35,1,859,8,5789
35,2,897,8,6172
35,3,965,8,6593
35,4,995,8,6906
35,5,1023,8,7324
35,6,1048,8,7376
35,7,1071,8,7500
35,8,1092,8,7740
35,9,1110,8,8523
35,10,1125,8,8967
35,11,1138,8,9054
35,12,1149,8,9725
35,13,1157,8,10274
35,14,1163,8,10286
35,15,1166,8,10001
35,16,1167,8,9530
35,17,1167,8,9815
35,18,1167,8,9676
35,19,1167,8,9340
36,0,811,8,6572
36,1,852,8,5856
36,2,890,8,5673
36,3,926,8,5567
36,4,959,8,5429
36,5,990,8,5061
36,6,1018,8,4793
36,7,1068,8,4752
36,8,1089,8,5030
36,9,1107,8,4769
36,10,1123,8,4798
36,11,1136,8,4439
36,12,1147,8,4508
36,13,1156,8,4440
36,14,1162,8,4614
36,15,1166,8,5176
36,16,1167,8,6408
36,17,1167,8,6881
36,18,1167,8,8051
36,19,1167,8,8929
37,0,804,8,10047
37,1,843,8,11337
37,2,880,8,10831
37,3,915,8,11463
37,4,947,8,10947
37,5,978,8,11001
37,6,1006,8,10991
37,7,1055,8,11565
37,8,1077,8,11778
37,9,1096,8,11674
37,10,1112,8,12487
37,11,1127,8,11891
37,12,1139,8,11903
37,13,1149,8,11571
37,14,1157,8,11576
37,15,1163,8,11854
37,16,1166,8,11663
37,17,1167,8,11652
37,18,1167,8,11474
37,19,1167,8,11331
38,0,807,8,6340
38,1,846,8,5915
38,2,884,8,5598
38,3,919,8,5502
38,4,952,8,5119
38,5,982,8,4778
38,6,1011,8,4396
38,7,1037,8,4088
38,8,1060,8,3978
38,9,1081,8,4046
38,10,1100,8,3754
38,11,1117,8,3613
38,12,1131,8,3453
38,13,1143,8,3354
38,14,1152,8,3387
38,15,1164,8,3134
38,16,1167,8,2955
38,17,1167,8,3169
38,18,1167,8,3034
38,19,1167,8,2998
39,0,836,8,5011
39,1,875,8,4605
39,2,911,8,4688
39,3,945,8,5098
39,4,977,8,4881
39,5,1006,8,4493
39,6,1033,8,4161
39,7,1057,8,4532
39,8,1079,8,4852
39,9,1099,8,5575
39,10,1116,8,6253
39,11,1142,8,6538
39,12,1152,8,6744
39,13,1159,8,7340
39,14,1164,8,8079
39,15,1167,8,8044
39,16,1167,8,7847
39,17,1167,8,7511
39,18,1167,8,7318
39,19,1167,8,7627
40,0,840,9,7178
40,1,878,9,8136
40,2,913,9,9402
40,3,946,9,10584
40,4,977,9,10897
40,5,1006,9,10911
40,6,1032,9,11876
40,7,1056,9,12487
40,8,1097,9,13574
40,9,1113,9,12674
40,10,1128,9,13833
40,11,1140,9,13584
40,12,1150,9,13847
40,13,1158,9,13998
40,14,1164,9,14276
40,15,1167,9,14515
40,16,1167,9,13369
40,17,1167,9,13786
40,18,1167,9,13104
40,19,1167,9,13591
41,0,811,9,5904
41,1,849,9,5632
41,2,885,9,5035
41,3,919,9,4369
41,4,950,9,4154
41,5,980,9,3914
41,6,1007,9,4010
41,7,1033,9,4457
41,8,1056,9,4870
41,9,1077,9,4906
41,10,1096,9,4649
41,11,1112,9,4756
41,12,1127,9,5280
41,13,1139,9,5237
41,14,1149,9,5484
41,15,1157,9,5149
41,16,1166,9,5183
41,17,1167,9,5140
41,18,1167,9,4846
41,19,1167,9,4466
42,0,809,9,11313
42,1,849,9,12772
42,2,887,9,13276
42,3,922,9,13927
42,4,955,9,13656
42,5,986,9,14685
42,6,1014,9,14939
42,7,1040,9,14582
42,8,1063,9,15546
42,9,1084,9,14903
42,10,1103,9,15202
42,11,1119,9,15263
42,12,1133,9,15663
42,13,1145,9,15252
42,14,1154,9,15427
42,15,1165,9,15087
42,16,1167,9,15818
42,17,1167,9,14993
42,18,1167,9,14997
42,19,1167,9,15251
43,0,832,9,3726
43,1,872,9,3463
43,2,909,9,3375
43,3,943,9,3524
43,4,975,9,3739
43,5,1005,9,4596
43,6,1032,9,4948
43,7,1079,9,5690
43,8,1098,9,5880
43,9,1116,9,6299
43,10,1152,9,7615
43,11,1160,9,7949
43,12,1164,9,8170
43,13,1167,9,7725
43,14,1167,9,7980
43,15,1167,9,7459
43,16,1167,9,7231
43,17,1167,9,6964
43,18,1167,9,6220
43,19,1167,9,5325
44,0,827,9,8764
44,1,866,9,8288
44,2,902,9,7511
44,3,936,9,7001
44,4,968,9,7382
44,5,1025,9,7764
44,6,1049,9,8467
44,7,1072,9,9035
44,8,1092,9,10367
44,9,1109,9,10826
44,10,1125,9,10498
44,11,1138,9,11030
44,12,1148,9,9934
44,13,1156,9,10258
44,14,1162,9,10825
44,15,1166,9,10880
44,16,1167,9,11210
44,17,1167,9,11769
44,18,1167,9,11544
44,19,1167,9,11312
45,0,818,10,11659
45,1,858,10,12037
45,2,896,10,11822
45,3,931,10,12207
45,4,964,10,13075
45,5,995,10,14060
45,6,1023,10,14107
45,7,1048,10,14942
45,8,1071,10,15486
45,9,1092,10,15158
45,10,1110,10,15768
45,11,1126,10,16065
45,12,1139,10,15584
45,13,1149,10,16178
45,14,1157,10,16256
45,15,1163,10,15795
45,16,1166,10,15431
45,17,1167,10,15060
45,18,1167,10,15492
45,19,1167,10,15982
46,0,805,10,5544
46,1,846,10,5782
46,2,885,10,5423
46,3,921,10,6289
46,4,954,10,7818
46,5,985,10,8717
46,6,1014,10,9987
46,7,1040,10,10467
46,8,1064,10,10635
46,9,1085,10,10445
46,10,1104,10,11261
46,11,1121,10,11555
46,12,1134,10,12572
46,13,1146,10,12824
46,14,1155,10,14261
46,15,1161,10,14815
46,16,1167,10,14582
46,17,1167,10,15134
46,18,1167,10,15682
46,19,1167,10,15367
47,0,825,10,3432
47,1,864,10,3309
47,2,900,10,3057
47,3,934,10,2911
47,4,966,10,2922
47,5,995,10,2675
47,6,1022,10,2463
47,7,1047,10,2232
47,8,1069,10,2228
47,9,1089,10,2206
47,10,1107,10,2094
47,11,1122,10,2048
47,12,1136,10,2004
47,13,1146,10,1974
47,14,1155,10,1899
47,15,1161,10,2030
47,16,1165,10,2014
47,17,1167,10,2008
47,18,1167,10,2026
47,19,1167,10,2236
48,0,819,10,3300
48,1,859,10,2787
48,2,897,10,2646
48,3,932,10,2776
48,4,965,10,3757
48,5,1023,10,5524
48,6,1049,10,7219
48,7,1072,10,8034
48,8,1092,10,8510
48,9,1110,10,8785
48,10,1126,10,10019
48,11,1139,10,10757
48,12,1149,10,11092
48,13,1158,10,12387
48,14,1163,10,11987
48,15,1166,10,12637
48,16,1167,10,12208
48,17,1167,10,13074
48,18,1167,10,12741
48,19,1167,10,12273
49,0,811,10,5271
49,1,850,10,5024
49,2,887,10,4123
49,3,922,10,3973
49,4,955,10,4600
49,5,985,10,5197
49,6,1013,10,5685
49,7,1038,10,6896
49,8,1062,10,8314
49,9,1083,10,9609
49,10,1101,10,10546
49,11,1118,10,10803
49,12,1132,10,10801
49,13,1144,10,11189
49,14,1153,10,11284
49,15,1160,10,11456
49,16,1165,10,11907
49,17,1167,10,11543
49,18,1167,10,11900
49,19,1167,10,11521
50,0,810,11,6213
50,1,849,11,5916
50,2,921,11,6053
50,3,953,11,5370
50,4,983,11,5000
50,5,1011,11,4708
50,6,1037,11,4240
50,7,1060,11,3651
50,8,1081,11,3206
50,9,1100,11,2908
50,10,1116,11,2862
50,11,1131,11,2970
50,12,1142,11,2882
50,13,1152,11,2673
50,14,1159,11,2671
50,15,1164,11,2599
50,16,1167,11,2468
50,17,1167,11,2257
50,18,1167,11,2027
50,19,1167,11,1955
51,0,803,11,3734
51,1,844,11,3452
51,2,883,11,2784
51,3,920,11,2613
51,4,985,11,2287
51,5,1014,11,2401
51,6,1040,11,2519
51,7,1064,11,3072
51,8,1085,11,3737
51,9,1135,11,5281
51,10,1146,11,5913
51,11,1155,11,5776
51,12,1162,11,5968
51,13,1166,11,5881
51,14,1167,11,5701
51,15,1167,11,5441
51,16,1167,11,5723
51,17,1167,11,5811
51,18,1167,11,5632
51,19,1167,11,5577
52,0,810,11,10134
52,1,850,11,10758
52,2,886,11,11161
52,3,921,11,11770
52,4,953,11,11943
52,5,983,11,12159
52,6,1011,11,12416
52,7,1037,11,12837
52,8,1060,11,13304
52,9,1081,11,13622
52,10,1100,11,14290
52,11,1116,11,14183
52,12,1130,11,14151
52,13,1142,11,14779
52,14,1159,11,14289
52,15,1164,11,14988
52,16,1166,11,15706
52,17,1167,11,15066
52,18,1167,11,14848
52,19,1167,11,15119
53,0,810,11,14166
53,1,849,11,13988
53,2,885,11,14772
53,3,920,11,15425
53,4,952,11,15415
53,5,982,11,14886
53,6,1010,11,15127
53,7,1036,11,14868
53,8,1059,11,15310
53,9,1080,11,14778
53,10,1099,11,15661
53,11,1115,11,16280
53,12,1129,11,16206
53,13,1141,11,16317
53,14,1158,11,15914
53,15,1164,11,16250
53,16,1166,11,16224
53,17,1167,11,15771
53,18,1167,11,15891
53,19,1167,11,15343
54,0,825,11,6134
54,1,865,11,5895
54,2,902,11,4973
54,3,937,11,4601
54,4,969,11,4652
54,5,999,11,4565
54,6,1026,11,4611
54,7,1074,11,4619
54,8,1094,11,4521
54,9,1112,11,4528
54,10,1127,11,4345
54,11,1140,11,4315
54,12,1150,11,4174
54,13,1158,11,4119
54,14,1163,11,3918
54,15,1166,11,3554
54,16,1167,11,3513
54,17,1167,11,3509
54,18,1167,11,3294
54,19,1167,11,3168
55,0,831,12,16009
55,1,870,12,15919
55,2,906,12,16093
55,3,940,12,16713
55,4,971,12,16784
55,5,1000,12,17503
55,6,1027,12,17298
55,7,1052,12,17182
55,8,1074,12,17145
55,9,1094,12,17742
55,10,1111,12,17174
55,11,1126,12,17396
55,12,1139,12,17639
55,13,1149,12,17528
55,14,1157,12,17408
55,15,1163,12,16598
55,16,1166,12,16760
55,17,1167,12,17177
55,18,1167,12,16926
55,19,1167,12,16687
56,0,804,12,5248
56,1,845,12,6158
56,2,884,12,6044
56,3,921,12,6405
56,4,955,12,6868
56,5,986,12,7326
56,6,1015,12,8441
56,7,1041,12,9760
56,8,1065,12,10173
56,9,1086,12,10529
56,10,1105,12,10371
56,11,1122,12,11254
56,12,1135,12,11534
56,13,1147,12,12177
56,14,1162,12,12636
56,15,1166,12,12939
56,16,1167,12,13400
56,17,1167,12,13268
56,18,1167,12,13545
56,19,1167,12,13363
57,0,826,12,7519
57,1,864,12,8138
57,2,900,12,8231
57,3,934,12,8513
57,4,965,12,8953
57,5,994,12,9443
57,6,1021,12,10133
57,7,1045,12,10988
57,8,1088,12,11032
57,9,1105,12,12066
57,10,1121,12,12052
57,11,1134,12,12765
57,12,1145,12,13044
57,13,1154,12,12570
57,14,1161,12,13317
57,15,1165,12,13132
57,16,1167,12,12743
57,17,1167,12,12731
57,18,1167,12,12884
57,19,1167,12,13234
58,0,834,12,4007
58,1,872,12,3806
58,2,908,12,3546
58,3,941,12,3355
