index,sequence,robotz,exposure,result
64,4,1604,35,7.99435
184,1,1017,95,7.99435
68,2,1212,35,7.99435
22,0,833,15,7.58496
37,3,1421,20,7.99435
252,1,1019,130,7.99435
205,2,1212,105,7.99435
235,3,1420,120,7.99435
10,3,1419,10,6.52356
43,1,1020,25,7.97728
90,0,821,50,7.9542
17,2,1216,10,7.45121
207,2,1221,105,7.99435
49,1,1014,25,7.98868
91,1,1012,50,7.99435
49,0,835,25,7.74147
164,1,1025,85,7.99435
77,2,1223,40,7.98868
201,3,1421,105,7.99435
227,1,1027,115,7.99435
46,1,1002,25,7.96
107,2,1203,55,7.99435
21,2,1206,15,7.99435
19,2,1233,10,7.26679
225,2,1216,115,7.99435
208,2,1223,105,7.99435
173,2,1211,90,7.98868
163,2,1224,85,7.62936
51,1,1017,30,7.96
241,3,1406,125,6.93074
29,1,1032,15,7.97728
24,3,1401,15,7.99435
56,1,1008,30,7.92481
164,2,1214,85,7.98868
130,1,1017,70,7.98868
87,4,1619,45,7.99435
33,2,1206,20,7.93664
126,1,1031,65,7.99435
79,0,826,40,7.98299
35,0,898,20,7.96
206,2,1243,105,7.99435
50,1,1019,30,7.99435
12,1,1040,10,6.91886
67,3,1419,35,7.99435
259,1,1031,130,7.99435
202,2,1217,105,7.99435
83,1,1038,45,7.99435
160,0,835,85,7.99435
154,3,1416,80,7.70044
93,3,1407,50,7.99435
138,1,1007,70,7.98868
180,0,825,95,7.98868
123,2,1208,65,7.79442
63,3,1406,35,7.17991
257,1,1069,130,7.99435
80,0,826,45,7.93664
12,2,1222,10,7.15987
261,3,1407,135,7.2384
27,1,1043,15,7.94837
218,3,1421,110,7.73471
226,3,1405,115,7.99435
246,3,1415,125,7.96578
91,3,1407,50,7.99435
242,3,1415,125,7.99435
9,0,828,5,7.03342
220,2,1223,115,7.78136
261,1,1013,135,7.88874
158,2,1205,80,7.99435
38,3,1419,20,7.99435
148,1,1031,75,7.99435
145,2,1226,75,7.62936
16,2,1222,10,6.90689
182,2,1217,95,7.99435
157,1,1028,80,7.99435
78,2,1206,40,7.99435
116,0,841,60,7.98868
105,1,1035,55,7.98868
150,1,1015,80,7.5157
193,4,1604,100,-inf
149,0,804,75,7.98868
57,1,1001,30,7.93664
125,2,1221,65,7.99435
96,0,817,50,7.98299
123,0,836,65,7.98299
56,0,827,30,7.93074
68,0,844,35,7.98299
156,3,1417,80,7.99435
16,0,816,10,7.65821
184,0,838,95,7.98868
111,0,802,60,7.97728
245,1,1004,125,7.99435
115,0,821,60,7.98868
243,1,1005,125,7.99435
61,3,1411,35,7.99435
186,1,1025,95,7.98868
120,2,1201,65,7.99435
264,2,1205,135,7.99435
111,1,1029,60,7.99435
151,1,1020,80,7.99435
165,2,1209,85,7.99435
187,2,1211,95,7.62205
136,1,1019,70,7.99435
137,2,1216,70,7.99435
103,0,833,55,7.89482
92,1,1005,50,7.99435
101,0,811,55,7.96
26,1,1024,15,7.59246
16,1,1039,10,7.24793
258,4,1601,130,7.99435
121,3,1420,65,7.99435
54,1,1015,30,7.94251
54,0,835,30,7.67948
149,2,1217,75,7.59246
144,3,1413,75,7.99435
132,1,1016,70,7.99435
41,2,1222,25,7.88874
248,4,1604,125,7.81378
118,3,1433,60,7.99435
178,2,1223,90,6.55459
102,2,1222,55,7.33092
75,1,1009,40,7.99435
264,3,1406,135,7.99435
35,4,1604,20,7.98868
28,0,846,15,7.93074
222,0,818,115,7.98868
239,2,1204,120,7.99435
185,2,1211,95,6.35755
127,0,844,65,7.98868
237,1,1003,120,7.99435
40,1,1018,25,7.7879
50,0,840,30,7.90087
97,2,1228,50,7.99435
195,1,1018,100,7.99435
73,1,1038,40,7.99435
126,0,805,65,7.98868
109,2,1213,55,6.58496
231,0,860,120,7.98868
175,3,1453,90,7.99435
112,2,1211,60,7.98868
68,1,1060,35,7.99435
175,4,1604,90,7.98299
71,0,809,40,7.97154
67,1,1004,35,7.98868
230,2,1209,120,7.99435
79,2,1203,40,7.99435
237,2,1245,120,7.99435
94,2,1216,50,6.45943
215,0,823,110,7.98868
61,1,1035,35,7.21917
6,3,1407,5,7.75489
179,3,1416,90,7.96578
202,0,806,105,7.98868
180,2,1202,95,6.45943
34,1,1009,20,7.59991
140,3,1421,75,7.99435
120,3,1428,65,7.99435
69,4,1619,35,7.99435
147,0,883,75,7.99435
263,0,819,135,7.98868
94,3,1417,50,6.20945
51,0,838,30,7.8392
42,1,1004,25,7.98868
124,0,827,65,7.98868
86,0,803,45,7.96578
100,1,1022,55,7.98299
142,0,811,75,7.97728
142,3,1405,75,6.91886
171,1,1072,90,7.99435
88,3,1406,45,6.20945
166,3,1410,85,6.67243
112,1,1020,60,7.98868
205,0,844,105,7.99435
5,3,1403,5,6.88264
127,4,1604,65,7.99435
172,3,1416,90,7.99435
129,3,1404,65,6.45943
47,0,836,25,7.73471
61,0,810,35,7.87652
120,1,1005,65,7.99435
262,3,1421,135,7.98299
97,3,1427,50,7.99435
98,2,1211,50,7.98868
7,3,1408,5,7.53138
93,2,1212,50,7.99435
169,2,1214,85,6.93074
204,0,813,105,7.98868
157,3,1402,80,7.99435
210,0,845,110,7.98868
110,2,1218,60,7.99435
151,2,1211,80,7.99435
69,2,1204,35,7.59991
14,1,1032,10,7.9542
214,3,1410,110,7.99435
206,1,1038,105,7.99435
71,1,1034,40,7.2854
142,2,1220,75,7.77479
46,3,1432,25,7.99435
152,2,1209,80,7.99435
212,2,1223,110,7.99435
145,3,1417,75,7.99435
232,0,850,120,7.98868
129,1,1029,65,7.99435
105,0,811,55,7.93664
144,1,1032,75,7.99435
115,1,1004,60,7.99435
11,0,840,10,7.82018
226,1,1014,115,7.99435
146,4,1621,75,7.99435
101,2,1220,55,7.36632
235,2,1213,120,7.99435
164,3,1422,85,7.37504
85,0,810,45,7.94251
19,3,1417,10,7.53138
216,2,1220,110,7.99435
79,3,1410,40,7.18982
210,1,1022,110,7.99435
60,0,841,35,7.82018
184,2,1209,95,7.98868
122,1,1029,65,7.98868
197,3,1414,100,7.99435
179,0,804,90,7.98868
23,0,818,15,7.6865
98,1,1021,50,7.98868
94,0,803,50,7.94837
24,2,1201,15,7.7211
99,1,1028,50,7.98868
37,2,1211,20,7.94251
147,3,1404,75,7.99435
259,3,1406,130,7.99435
108,2,1224,55,7.56224
219,0,814,110,7.98868
212,3,1410,110,7.99435
97,0,829,50,7.92481
116,3,1415,60,7.99435
22,2,1206,15,7.56986
80,3,1412,45,7.99435
228,1,1006,115,7.99435
190,2,1211,100,7.99435
84,3,1408,45,7.99435
152,1,1018,80,7.99435
246,0,884,125,7.99435
37,1,1020,20,7.9542
11,1,1057,10,7.04439
98,3,1422,50,7.99435
29,2,1218,15,7.34873
33,3,1401,20,7.99435
245,2,1224,125,7.99435
188,0,829,95,7.98868
198,1,1012,100,7.98868
192,2,1213,100,7.99435
185,0,844,95,7.98868
198,0,831,100,7.98868
48,1,1040,25,7.73471
153,0,819,80,7.98868
65,3,1421,35,7.99435
115,2,1224,60,7.99435
209,2,1217,105,7.99435
231,4,1613,120,7.99435
8,2,1223,5,7.74819
146,1,1038,75,7.99435
65,1,1004,35,7.98868
186,0,896,95,7.98868
31,1,1027,20,7.65105
234,2,1222,120,7.99435
125,1,1038,65,7.99435
74,1,1014,40,7.99435
159,2,1222,80,7.99435
165,0,838,85,7.98868
133,4,1628,70,7.99435
230,3,1430,120,7.99435
177,1,1025,90,7.99435
6,1,1027,5,6.70044
136,3,1417,70,7.99435
256,2,1216,130,7.99435
235,1,1025,120,7.99435
36,1,1009,20,7.59991
39,1,1019,20,7.93074
89,0,841,45,7.9542
11,3,1430,10,7.94251
18,3,1403,10,7.96
174,0,838,90,7.98868
164,0,848,85,7.99435
128,3,1412,65,6.87036
202,1,1031,105,7.99435
176,2,1214,90,7.99435
18,2,1224,10,7.5157
75,3,1411,40,7.99435
82,0,805,45,7.94837
237,0,821,120,7.99435
17,0,802,10,7.53138
95,3,1418,50,7.99435
235,0,896,120,7.99435
199,3,1449,100,7.99435
6,2,1215,5,7.69349
72,2,1201,40,7.30378
86,1,1029,45,7.99435
161,2,1215,85,7.99435
62,2,1215,35,7.98868
228,0,824,115,7.98868
244,3,1403,125,7.99435
231,2,1220,120,7.99435
51,3,1430,30,7.99435
176,0,849,90,7.98868
44,1,1006,25,7.67243
134,0,831,70,7.98868
213,3,1421,110,7.21917
88,2,1215,45,7.98299
203,0,844,105,7.98868
138,3,1417,70,7.99435
155,1,1007,80,7.99435
138,2,1202,70,7.99435
64,2,1212,35,7.87036
175,2,1218,90,7.62205
76,2,1224,40,7.7211
263,1,1041,135,7.99435
117,2,1207,60,7.43463
